pos	int	
10.0221	1290.00	
10.0746	1306.00	
10.1009	1290.00	
10.1403	1257.00	
10.1797	1293.00	
10.2322	1304.00	
10.2847	1262.00	
10.3109	1259.00	
10.3372	1269.00	
10.3766	1281.00	
10.4028	1260.00	
10.4291	1266.00	
10.4553	1272.00	
10.4816	1251.00	
10.5079	1233.00	
10.5604	1321.00	
10.5997	1260.00	
10.6260	1327.00	
10.6523	1252.00	
10.7048	1235.00	
10.7442	1263.00	
10.7835	1230.00	
10.8229	1312.00	
10.9017	1272.00	
10.9411	1315.00	
10.9936	1176.00	
11.0198	1239.00	
11.0461	1261.00	
11.0723	1285.00	
11.0986	1364.00	
11.1380	1253.00	
11.1642	1241.00	
11.2299	1297.00	
11.2561	1260.00	
11.3218	1241.00	
11.3612	1270.00	
11.4005	1247.00	
11.4399	1266.00	
11.4662	1278.00	
11.5187	1235.00	
11.5712	1301.00	
11.6237	1224.00	
11.6631	1270.00	
11.7156	1280.00	
11.7419	1295.00	
11.7681	1241.00	
11.8075	1230.00	
11.8469	1241.00	
11.8863	1276.00	
11.9519	1285.00	
12.0307	1227.00	
12.0701	1244.00	
12.0963	1240.00	
12.1488	1217.00	
12.1882	1236.00	
12.2145	1205.00	
12.2407	1233.00	
12.2670	1217.00	
12.3064	1284.00	
12.3457	1247.00	
12.3851	1242.00	
12.4770	1277.00	
12.5164	1219.00	
12.5427	1271.00	
12.6083	1206.00	
12.6346	1216.00	
12.6871	1260.00	
12.7396	1238.00	
12.7790	1224.00	
12.8183	1222.00	
12.8577	1229.00	
12.9365	1219.00	
12.9759	1218.00	
13.0415	1187.00	
13.0678	1201.00	
13.1072	1216.00	
13.1728	1143.00	
13.1991	1097.00	
13.2384	1197.00	
13.2647	1213.00	
13.3172	1163.00	
13.3697	1203.00	
13.3960	1136.00	
13.4354	1161.00	
13.4616	1190.00	
13.5010	1178.00	
13.5535	1212.00	
13.6060	1187.00	
13.6585	1154.00	
13.6979	1164.00	
13.7504	1188.00	
13.7767	1155.00	
13.8029	1120.00	
13.8292	1147.00	
13.8948	1194.00	
13.9342	1144.00	
13.9999	1151.00	
14.0392	1132.00	
14.0786	1126.00	
14.1311	1148.00	
14.1574	1105.00	
14.2362	1144.00	
14.3149	1124.00	
14.3412	1145.00	
14.3937	1105.00	
14.4462	1093.00	
14.4725	1100.00	
14.5118	1106.00	
14.5381	1093.00	
14.5775	1086.00	
14.6300	1094.00	
14.6562	1122.00	
14.6956	1101.00	
14.7613	1104.00	
14.7875	1065.00	
14.8138	1016.00	
14.8400	1102.00	
14.8663	1105.00	
14.9057	1080.00	
14.9451	1097.00	
14.9713	1106.00	
15.0107	1020.00	
15.0763	1084.00	
15.1288	1057.00	
15.1682	1034.00	
15.2207	1080.00	
15.2470	1046.00	
15.2864	1063.00	
15.3389	998.00	
15.3783	1059.00	
15.4045	1058.00	
15.4439	1019.00	
15.4702	1056.00	
15.5095	1024.00	
15.5358	1065.00	
15.5883	983.00	
15.6277	1061.00	
15.7065	996.00	
15.7327	1059.00	
15.7721	1007.00	
15.7984	1003.00	
15.8509	1013.00	
15.9034	1041.00	
15.9690	1037.00	
16.0084	1044.00	
16.0609	1061.00	
16.1003	1033.00	
16.1266	971.00	
16.1659	1041.00	
16.2053	1025.00	
16.2447	979.00	
16.2710	1000.00	
16.3103	1053.00	
16.3629	1000.00	
16.4022	1014.00	
16.4548	997.00	
16.4941	1028.00	
16.5335	980.00	
16.5729	994.00	
16.6123	988.00	
16.6517	990.00	
16.6911	998.00	
16.7567	1012.00	
16.7961	964.00	
16.8486	1025.00	
16.8880	1025.00	
16.9536	990.00	
16.9930	1010.00	
17.0586	1003.00	
17.1374	964.00	
17.1899	986.00	
17.2424	974.00	
17.2687	980.00	
17.2949	951.00	
17.3343	1031.00	
17.3868	987.00	
17.4525	973.00	
17.5050	955.00	
17.5575	957.00	
17.6100	953.00	
17.6363	963.00	
17.6756	956.00	
17.7019	934.00	
17.7675	992.00	
17.8069	970.00	
17.8463	967.00	
17.8726	982.00	
17.8988	996.00	
17.9382	938.00	
18.0038	941.00	
18.0432	921.00	
18.0826	921.00	
18.1220	923.00	
18.1745	964.00	
18.2270	951.00	
18.2664	948.00	
18.3189	934.00	
18.3583	952.00	
18.4239	993.00	
18.4502	900.00	
18.4764	931.00	
18.5158	952.00	
18.5552	967.00	
18.5946	917.00	
18.6471	926.00	
18.6996	888.00	
18.7521	925.00	
18.7784	883.00	
18.8046	917.00	
18.8440	937.00	
18.8965	934.00	
18.9622	964.00	
19.0147	922.00	
19.0409	920.00	
19.0672	882.00	
19.1066	897.00	
19.1722	911.00	
19.2116	930.00	
19.2510	935.00	
19.2772	919.00	
19.3166	929.00	
19.3560	937.00	
19.4742	891.00	
19.5004	868.00	
19.5267	898.00	
19.5660	951.00	
19.6317	938.00	
19.6842	883.00	
19.7236	900.00	
19.7498	856.00	
19.8023	915.00	
19.8549	967.00	
19.9468	920.00	
19.9730	877.00	
20.0124	927.00	
20.0649	907.00	
20.1043	869.00	
20.1305	858.00	
20.1831	909.00	
20.2093	881.00	
20.2356	923.00	
20.2749	936.00	
20.3143	896.00	
20.3406	872.00	
20.3668	887.00	
20.4456	916.00	
20.4850	860.00	
20.5244	880.00	
20.5638	898.00	
20.6163	899.00	
20.6557	888.00	
20.6819	898.00	
20.7213	873.00	
20.7475	838.00	
20.7738	852.00	
20.8132	833.00	
20.8394	818.00	
20.8788	846.00	
20.9182	895.00	
20.9576	872.00	
20.9970	888.00	
21.0626	894.00	
21.1020	861.00	
21.1414	866.00	
21.1676	837.00	
21.1939	844.00	
21.2202	868.00	
21.2727	862.00	
21.3120	862.00	
21.3514	885.00	
21.3777	858.00	
21.4039	866.00	
21.4433	840.00	
21.4958	850.00	
21.5877	867.00	
21.6140	894.00	
21.6665	853.00	
21.7059	881.00	
21.7453	857.00	
21.7846	829.00	
21.8503	876.00	
21.8765	864.00	
21.9028	877.00	
21.9553	832.00	
21.9816	859.00	
22.0078	844.00	
22.0603	865.00	
22.0866	831.00	
22.1391	813.00	
22.1785	825.00	
22.2047	860.00	
22.2441	873.00	
22.3360	832.00	
22.3623	860.00	
22.3885	827.00	
22.4148	828.00	
22.4410	885.00	
22.4673	822.00	
22.5198	853.00	
22.5461	834.00	
22.5854	838.00	
22.6380	867.00	
22.6773	829.00	
22.7036	855.00	
22.7299	840.00	
22.7692	871.00	
22.7955	822.00	
22.8480	832.00	
22.8874	902.00	
22.9136	815.00	
22.9399	821.00	
23.0055	829.00	
23.0843	883.00	
23.1368	813.00	
23.1762	834.00	
23.2025	817.00	
23.2287	862.00	
23.2550	845.00	
23.3075	851.00	
23.3469	830.00	
23.3862	844.00	
23.4125	843.00	
23.4388	819.00	
23.4913	850.00	
23.5306	818.00	
23.5700	827.00	
23.5963	819.00	
23.6225	827.00	
23.7013	885.00	
23.7276	807.00	
23.7801	820.00	
23.8063	819.00	
23.8326	820.00	
23.8982	871.00	
23.9376	834.00	
23.9770	820.00	
24.0032	811.00	
24.0426	845.00	
24.0820	838.00	
24.1345	812.00	
24.2002	791.00	
24.2264	838.00	
24.2921	828.00	
24.3446	793.00	
24.3971	796.00	
24.4365	813.00	
24.4759	814.00	
24.5546	790.00	
24.5809	833.00	
24.6203	810.00	
24.6596	827.00	
24.6859	848.00	
24.7253	818.00	
24.7647	826.00	
24.8040	879.00	
24.8303	831.00	
24.8566	811.00	
24.9091	806.00	
24.9485	819.00	
24.9878	776.00	
25.0272	814.00	
25.0797	824.00	
25.1060	784.00	
25.1322	777.00	
25.1716	848.00	
25.1979	773.00	
25.2373	785.00	
25.2766	780.00	
25.3160	828.00	
25.3685	808.00	
25.4342	785.00	
25.4604	789.00	
25.4998	806.00	
25.5523	815.00	
25.5786	824.00	
25.6442	772.00	
25.6705	778.00	
25.7361	812.00	
25.7624	829.00	
25.7886	795.00	
25.8411	803.00	
25.8937	830.00	
25.9330	838.00	
25.9593	810.00	
25.9987	776.00	
26.0512	788.00	
26.0906	768.00	
26.1300	809.00	
26.1693	794.00	
26.1956	847.00	
26.2350	770.00	
26.2875	753.00	
26.3137	781.00	
26.3663	849.00	
26.4188	767.00	
26.4582	784.00	
26.4975	789.00	
26.5238	792.00	
26.5894	794.00	
26.6288	772.00	
26.6682	789.00	
26.6945	774.00	
26.7338	764.00	
26.7601	787.00	
26.7863	764.00	
26.8389	781.00	
26.8651	786.00	
26.9176	818.00	
26.9701	780.00	
27.0226	814.00	
27.0620	835.00	
27.1014	814.00	
27.1408	775.00	
27.1671	765.00	
27.1933	747.00	
27.2196	768.00	
27.2458	838.00	
27.2721	750.00	
27.2983	788.00	
27.3508	800.00	
27.4034	776.00	
27.4427	797.00	
27.4952	768.00	
27.5215	801.00	
27.5871	786.00	
27.6134	787.00	
27.6528	761.00	
27.6922	803.00	
27.7316	831.00	
27.7841	794.00	
27.8366	805.00	
27.8628	791.00	
27.8891	824.00	
27.9285	842.00	
27.9679	829.00	
28.0072	823.00	
28.0597	808.00	
28.0860	804.00	
28.1123	808.00	
28.1385	840.00	
28.1648	832.00	
28.2042	830.00	
28.2567	788.00	
28.2960	824.00	
28.3223	863.00	
28.3748	888.00	
28.4142	917.00	
28.4536	987.00	
28.4798	1053.00	
28.7293	11058.00	
28.7949	6336.00	
29.0181	907.00	
29.0706	858.00	
29.1100	885.00	
29.1625	796.00	
29.2019	810.00	
29.2412	785.00	
29.2675	783.00	
29.3069	763.00	
29.3331	787.00	
29.3594	821.00	
29.3857	816.00	
29.4250	829.00	
29.4644	810.00	
29.4907	795.00	
29.5169	798.00	
29.5432	782.00	
29.5826	753.00	
29.6088	790.00	
29.6351	832.00	
29.6745	748.00	
29.7401	783.00	
29.8320	742.00	
29.8583	751.00	
29.8845	751.00	
29.9239	715.00	
29.9502	723.00	
30.0027	764.00	
30.0420	786.00	
30.0683	747.00	
30.1077	764.00	
30.1602	778.00	
30.2521	777.00	
30.2915	775.00	
30.3309	760.00	
30.3571	748.00	
30.3834	737.00	
30.4228	754.00	
30.4490	722.00	
30.4884	763.00	
30.5672	738.00	
30.6591	749.00	
30.6984	713.00	
30.7247	733.00	
30.7509	696.00	
30.8035	728.00	
30.8428	742.00	
30.8822	771.00	
30.9347	743.00	
30.9872	723.00	
31.0266	739.00	
31.0529	744.00	
31.0923	767.00	
31.1185	722.00	
31.1448	751.00	
31.2236	695.00	
31.2629	763.00	
31.3154	770.00	
31.3548	711.00	
31.3942	727.00	
31.4336	743.00	
31.4599	700.00	
31.4861	715.00	
31.5124	727.00	
31.5517	729.00	
31.6043	785.00	
31.6568	733.00	
31.6962	736.00	
31.7224	702.00	
31.7487	729.00	
31.7880	769.00	
31.8143	717.00	
31.8537	715.00	
31.8799	728.00	
31.9062	730.00	
31.9325	741.00	
31.9718	722.00	
32.0112	720.00	
32.0375	699.00	
32.0769	735.00	
32.1162	748.00	
32.1425	715.00	
32.1688	743.00	
32.1950	769.00	
32.2475	739.00	
32.2869	764.00	
32.3132	729.00	
32.3525	707.00	
32.3788	737.00	
32.4182	710.00	
32.4444	762.00	
32.5363	742.00	
32.5888	729.00	
32.6151	733.00	
32.6414	734.00	
32.6676	708.00	
32.6939	730.00	
32.7595	705.00	
32.7858	708.00	
32.8645	732.00	
32.9039	736.00	
32.9696	723.00	
33.0352	740.00	
33.0746	737.00	
33.1008	698.00	
33.1271	707.00	
33.1533	673.00	
33.1927	723.00	
33.2190	731.00	
33.2715	734.00	
33.3240	734.00	
33.3765	679.00	
33.4159	709.00	
33.4684	707.00	
33.5209	700.00	
33.5603	728.00	
33.5997	703.00	
33.6653	734.00	
33.6916	736.00	
33.7572	728.00	
33.8097	707.00	
33.8491	718.00	
33.8754	702.00	
33.9016	686.00	
33.9410	700.00	
33.9673	694.00	
34.0329	676.00	
34.0854	709.00	
34.1117	681.00	
34.1511	681.00	
34.2036	695.00	
34.2429	713.00	
34.2955	741.00	
34.3348	684.00	
34.3742	721.00	
34.4530	707.00	
34.5186	684.00	
34.5711	681.00	
34.6105	724.00	
34.6630	656.00	
34.7024	701.00	
34.7418	700.00	
34.7812	676.00	
34.8206	694.00	
34.8600	721.00	
34.9256	713.00	
34.9519	676.00	
34.9912	712.00	
35.0569	697.00	
35.1094	721.00	
35.1356	696.00	
35.2275	707.00	
35.2538	743.00	
35.2932	663.00	
35.3194	709.00	
35.3457	672.00	
35.3851	692.00	
35.4245	671.00	
35.4638	701.00	
35.4901	657.00	
35.5163	681.00	
35.5426	699.00	
35.6082	694.00	
35.6345	662.00	
35.6608	677.00	
35.6870	674.00	
35.7133	682.00	
35.7526	726.00	
35.7789	727.00	
35.8052	708.00	
35.8839	730.00	
35.9233	698.00	
35.9758	704.00	
36.0283	675.00	
36.0808	675.00	
36.1071	656.00	
36.1596	663.00	
36.1990	659.00	
36.2515	697.00	
36.2909	679.00	
36.3171	719.00	
36.3959	705.00	
36.4353	695.00	
36.4747	747.00	
36.5141	688.00	
36.5928	686.00	
36.6191	624.00	
36.6453	700.00	
36.6847	691.00	
36.7110	708.00	
36.7504	699.00	
36.8160	677.00	
36.8685	709.00	
36.9079	758.00	
36.9867	684.00	
37.0392	695.00	
37.0917	728.00	
37.1179	704.00	
37.1442	760.00	
37.1967	768.00	
37.2492	868.00	
37.4068	2641.00	
37.4986	1788.00	
37.6431	773.00	
37.6693	789.00	
37.7087	705.00	
37.7481	728.00	
37.7875	685.00	
37.8137	726.00	
37.8400	688.00	
37.8925	667.00	
37.9450	692.00	
37.9844	692.00	
38.0238	705.00	
38.0763	699.00	
38.1288	660.00	
38.1550	664.00	
38.1813	708.00	
38.2076	693.00	
38.2338	651.00	
38.2732	671.00	
38.3126	663.00	
38.3651	701.00	
38.4045	661.00	
38.4439	673.00	
38.4701	644.00	
38.5095	661.00	
38.5357	655.00	
38.5620	676.00	
38.6014	682.00	
38.6670	698.00	
38.7195	638.00	
38.7589	658.00	
38.8246	662.00	
38.8639	685.00	
38.8902	705.00	
38.9165	679.00	
38.9427	683.00	
38.9952	670.00	
39.0477	665.00	
39.0871	650.00	
39.1134	647.00	
39.1659	669.00	
39.1921	669.00	
39.2184	654.00	
39.2709	655.00	
39.3103	667.00	
39.3497	706.00	
39.3759	678.00	
39.4022	674.00	
39.4547	661.00	
39.4809	701.00	
39.5203	704.00	
39.5597	666.00	
39.6254	716.00	
39.6516	650.00	
39.6779	648.00	
39.7041	652.00	
39.7304	652.00	
39.7566	632.00	
39.7829	683.00	
39.8091	692.00	
39.8354	652.00	
39.8748	639.00	
39.9404	672.00	
39.9667	670.00	
39.9929	635.00	
40.0192	673.00	
40.0586	688.00	
40.0848	660.00	
40.1242	671.00	
40.1636	680.00	
40.2030	651.00	
40.2424	655.00	
40.2817	668.00	
40.3343	664.00	
40.3999	683.00	
40.4524	700.00	
40.4918	693.00	
40.5180	650.00	
40.5443	659.00	
40.5837	730.00	
40.6756	729.00	
40.7018	662.00	
40.7412	702.00	
40.7675	705.00	
40.7937	698.00	
40.8200	681.00	
40.8594	742.00	
40.8856	759.00	
40.9381	780.00	
41.0432	1146.00	
41.0825	1041.00	
41.1219	1012.00	
41.1613	892.00	
41.2138	845.00	
41.2926	725.00	
41.3188	734.00	
41.3845	701.00	
41.4370	667.00	
41.4895	683.00	
41.5289	721.00	
41.5683	681.00	
41.6077	670.00	
41.6339	657.00	
41.6864	677.00	
41.7652	675.00	
41.7914	648.00	
41.8308	664.00	
41.8702	638.00	
