pos	int	
10.0000	3464.00	
10.0191	3461.00	
10.0381	3471.00	
10.0572	3494.00	
10.0762	3438.00	
10.0953	3538.00	
10.1143	3387.00	
10.1334	3350.00	
10.1524	3477.00	
10.1715	3453.00	
10.1905	3415.00	
10.2096	3268.00	
10.2286	3458.00	
10.2477	3401.00	
10.2667	3315.00	
10.2858	3290.00	
10.3049	3310.00	
10.3239	3243.00	
10.3430	3247.00	
10.3620	3287.00	
10.3811	3318.00	
10.4001	3280.00	
10.4192	3273.00	
10.4382	3238.00	
10.4573	3271.00	
10.4763	3179.00	
10.4954	3223.00	
10.5144	3249.00	
10.5335	3286.00	
10.5525	3178.00	
10.5716	3209.00	
10.5907	3232.00	
10.6097	3327.00	
10.6288	3129.00	
10.6478	3181.00	
10.6669	3116.00	
10.6859	3218.00	
10.7050	3124.00	
10.7240	3174.00	
10.7431	3178.00	
10.7621	3115.00	
10.7812	3109.00	
10.8002	3109.00	
10.8193	3157.00	
10.8383	2923.00	
10.8574	3092.00	
10.8765	3010.00	
10.8955	3010.00	
10.9146	3096.00	
10.9336	2994.00	
10.9527	2958.00	
10.9717	3123.00	
10.9908	2999.00	
11.0098	2978.00	
11.0289	3000.00	
11.0479	2989.00	
11.0670	3088.00	
11.0860	3071.00	
11.1051	2918.00	
11.1241	2914.00	
11.1432	3006.00	
11.1623	2955.00	
11.1813	2904.00	
11.2004	2981.00	
11.2194	2989.00	
11.2385	2956.00	
11.2575	2881.00	
11.2766	3019.00	
11.2956	2955.00	
11.3147	2927.00	
11.3337	2932.00	
11.3528	2838.00	
11.3718	2916.00	
11.3909	2955.00	
11.4099	2796.00	
11.4290	2921.00	
11.4481	2892.00	
11.4671	2878.00	
11.4862	2850.00	
11.5052	2895.00	
11.5243	2804.00	
11.5433	2829.00	
11.5624	2823.00	
11.5814	2788.00	
11.6005	2862.00	
11.6195	2844.00	
11.6386	2860.00	
11.6576	2797.00	
11.6767	2742.00	
11.6957	2857.00	
11.7148	2835.00	
11.7339	2819.00	
11.7529	2797.00	
11.7720	2748.00	
11.7910	2655.00	
11.8101	2716.00	
11.8291	2708.00	
11.8482	2715.00	
11.8672	2727.00	
11.8863	2652.00	
11.9053	2726.00	
11.9244	2738.00	
11.9434	2751.00	
11.9625	2746.00	
11.9815	2667.00	
12.0006	2663.00	
12.0197	2600.00	
12.0387	2662.00	
12.0578	2599.00	
12.0768	2717.00	
12.0959	2654.00	
12.1149	2759.00	
12.1340	2557.00	
12.1530	2524.00	
12.1721	2675.00	
12.1911	2654.00	
12.2102	2615.00	
12.2292	2661.00	
12.2483	2548.00	
12.2673	2635.00	
12.2864	2579.00	
12.3055	2620.00	
12.3245	2529.00	
12.3436	2606.00	
12.3626	2638.00	
12.3817	2632.00	
12.4007	2610.00	
12.4198	2528.00	
12.4388	2492.00	
12.4579	2511.00	
12.4769	2501.00	
12.4960	2506.00	
12.5150	2543.00	
12.5341	2531.00	
12.5531	2615.00	
12.5722	2565.00	
12.5913	2435.00	
12.6103	2495.00	
12.6294	2528.00	
12.6484	2427.00	
12.6675	2437.00	
12.6865	2427.00	
12.7056	2452.00	
12.7246	2477.00	
12.7437	2466.00	
12.7627	2433.00	
12.7818	2443.00	
12.8008	2527.00	
12.8199	2346.00	
12.8389	2475.00	
12.8580	2464.00	
12.8771	2353.00	
12.8961	2404.00	
12.9152	2400.00	
12.9342	2359.00	
12.9533	2397.00	
12.9723	2390.00	
12.9914	2385.00	
13.0104	2347.00	
13.0295	2305.00	
13.0485	2415.00	
13.0676	2286.00	
13.0866	2422.00	
13.1057	2326.00	
13.1247	2353.00	
13.1438	2400.00	
13.1629	2438.00	
13.1819	2377.00	
13.2010	2252.00	
13.2200	2288.00	
13.2391	2215.00	
13.2581	2347.00	
13.2772	2312.00	
13.2962	2303.00	
13.3153	2326.00	
13.3343	2351.00	
13.3534	2326.00	
13.3724	2287.00	
13.3915	2339.00	
13.4105	2310.00	
13.4296	2322.00	
13.4487	2226.00	
13.4677	2303.00	
13.4868	2247.00	
13.5058	2266.00	
13.5249	2212.00	
13.5439	2253.00	
13.5630	2238.00	
13.5820	2268.00	
13.6011	2249.00	
13.6201	2313.00	
13.6392	2248.00	
13.6582	2210.00	
13.6773	2269.00	
13.6963	2274.00	
13.7154	2185.00	
13.7345	2133.00	
13.7535	2241.00	
13.7726	2275.00	
13.7916	2274.00	
13.8107	2253.00	
13.8297	2252.00	
13.8488	2094.00	
13.8678	2206.00	
13.8869	2221.00	
13.9059	2176.00	
13.9250	2199.00	
13.9440	2216.00	
13.9631	2185.00	
13.9821	2182.00	
14.0012	2164.00	
14.0203	2140.00	
14.0393	2195.00	
14.0584	2133.00	
14.0774	2159.00	
14.0965	2216.00	
14.1155	2143.00	
14.1346	2139.00	
14.1536	2115.00	
14.1727	2107.00	
14.1917	2115.00	
14.2108	2130.00	
14.2298	2130.00	
14.2489	2149.00	
14.2679	2050.00	
14.2870	2220.00	
14.3061	2119.00	
14.3251	2042.00	
14.3442	2122.00	
14.3632	2159.00	
14.3823	2079.00	
14.4013	2088.00	
14.4204	2086.00	
14.4394	2085.00	
14.4585	2113.00	
14.4775	2074.00	
14.4966	2048.00	
14.5156	2102.00	
14.5347	2079.00	
14.5537	1981.00	
14.5728	2033.00	
14.5919	1977.00	
14.6109	1991.00	
14.6300	2092.00	
14.6490	2014.00	
14.6681	2130.00	
14.6871	1986.00	
14.7062	2081.00	
14.7252	2065.00	
14.7443	2077.00	
14.7633	1992.00	
14.7824	1978.00	
14.8014	2012.00	
14.8205	2030.00	
14.8395	1970.00	
14.8586	2030.00	
14.8777	2047.00	
14.8967	2008.00	
14.9158	2035.00	
14.9348	2005.00	
14.9539	1959.00	
14.9729	1933.00	
14.9920	1896.00	
15.0110	1940.00	
15.0301	1937.00	
15.0491	2012.00	
15.0682	1988.00	
15.0872	1983.00	
15.1063	1992.00	
