pos	int
10.0070	18.00
10.0200	22.00
10.0330	26.00
10.0460	23.00
10.0590	28.00
10.0720	38.00
10.0850	37.00
10.0980	29.00
10.1110	30.00
10.1240	33.00
10.1370	32.00
10.1500	26.00
10.1630	25.00
10.1760	24.00
10.1890	25.00
10.2020	23.00
10.2150	31.00
10.2280	35.00
10.2410	32.00
10.2540	26.00
10.2670	27.00
10.2799	33.00
10.2929	25.00
10.3059	28.00
10.3189	26.00
10.3319	32.00
10.3449	32.00
10.3579	31.00
10.3709	28.00
10.3839	27.00
10.3969	28.00
10.4099	27.00
10.4229	33.00
10.4359	28.00
10.4489	21.00
10.4619	24.00
10.4749	25.00
10.4879	24.00
10.5009	21.00
10.5139	25.00
10.5269	27.00
10.5399	23.00
10.5529	27.00
10.5659	25.00
10.5789	22.00
10.5919	23.00
10.6049	22.00
10.6179	19.00
10.6309	16.00
10.6439	26.00
10.6569	30.00
10.6699	27.00
10.6829	32.00
10.6959	38.00
10.7089	36.00
10.7219	31.00
10.7349	32.00
10.7479	28.00
10.7609	26.00
10.7739	29.00
10.7869	29.00
10.7999	26.00
10.8129	24.00
10.8258	27.00
10.8388	26.00
10.8518	19.00
10.8648	24.00
10.8778	28.00
10.8908	21.00
10.9038	21.00
10.9168	25.00
10.9298	26.00
10.9428	25.00
10.9558	23.00
10.9688	25.00
10.9818	27.00
10.9948	22.00
11.0078	21.00
11.0208	23.00
11.0338	31.00
11.0468	29.00
11.0598	27.00
11.0728	28.00
11.0858	40.00
11.0988	28.00
11.1118	27.00
11.1248	24.00
11.1378	19.00
11.1508	25.00
11.1638	28.00
11.1768	23.00
11.1898	19.00
11.2028	25.00
11.2158	24.00
11.2288	23.00
11.2418	26.00
11.2548	34.00
11.2678	23.00
11.2808	24.00
11.2938	26.00
11.3068	20.00
11.3198	31.00
11.3328	31.00
11.3458	17.00
11.3587	33.00
11.3717	29.00
11.3847	34.00
11.3977	27.00
11.4107	31.00
11.4237	27.00
11.4367	32.00
11.4497	25.00
11.4627	27.00
11.4757	21.00
11.4887	23.00
11.5017	24.00
11.5147	24.00
11.5277	36.00
11.5407	28.00
11.5537	23.00
11.5667	28.00
11.5797	30.00
11.5927	32.00
11.6057	25.00
11.6187	23.00
11.6317	30.00
11.6447	30.00
11.6577	30.00
11.6707	33.00
11.6837	35.00
11.6967	27.00
11.7097	22.00
11.7227	18.00
11.7357	20.00
11.7487	19.00
11.7617	23.00
11.7747	26.00
11.7877	26.00
11.8007	28.00
