pos	int
10.0070	59.00
10.0200	51.00
10.0330	50.00
10.0460	49.00
10.0590	57.00
10.0720	52.00
10.0850	51.00
10.0980	57.00
10.1110	51.00
10.1240	48.00
10.1370	53.00
10.1500	50.00
10.1630	54.00
10.1760	58.00
10.1890	62.00
10.2020	57.00
10.2150	58.00
10.2280	53.00
10.2410	48.00
10.2540	52.00
10.2670	49.00
10.2799	40.00
10.2929	41.00
10.3059	60.00
10.3189	45.00
10.3319	36.00
10.3449	49.00
10.3579	60.00
10.3709	58.00
10.3839	56.00
10.3969	53.00
10.4099	58.00
10.4229	53.00
10.4359	57.00
10.4489	54.00
10.4619	49.00
10.4749	46.00
10.4879	58.00
10.5009	58.00
10.5139	62.00
10.5269	57.00
10.5399	51.00
10.5529	47.00
10.5659	49.00
10.5789	52.00
10.5919	48.00
10.6049	40.00
10.6179	48.00
10.6309	51.00
10.6439	45.00
10.6569	48.00
10.6699	55.00
10.6829	47.00
10.6959	43.00
10.7089	55.00
10.7219	56.00
10.7349	48.00
10.7479	46.00
10.7609	50.00
10.7739	53.00
10.7869	50.00
10.7999	51.00
10.8129	55.00
10.8258	50.00
10.8388	50.00
10.8518	46.00
10.8648	50.00
10.8778	54.00
10.8908	59.00
10.9038	54.00
10.9168	51.00
10.9298	55.00
10.9428	56.00
10.9558	60.00
10.9688	57.00
10.9818	57.00
10.9948	55.00
11.0078	58.00
11.0208	49.00
11.0338	51.00
11.0468	45.00
11.0598	43.00
11.0728	40.00
11.0858	36.00
11.0988	42.00
11.1118	42.00
11.1248	34.00
11.1378	41.00
11.1508	36.00
11.1638	46.00
11.1768	46.00
11.1898	54.00
11.2028	59.00
11.2158	46.00
11.2288	47.00
11.2418	46.00
11.2548	50.00
11.2678	49.00
11.2808	56.00
11.2938	52.00
11.3068	58.00
11.3198	50.00
11.3328	63.00
11.3458	46.00
11.3587	57.00
11.3717	48.00
11.3847	57.00
11.3977	61.00
11.4107	47.00
11.4237	50.00
11.4367	46.00
11.4497	49.00
11.4627	43.00
11.4757	43.00
11.4887	53.00
11.5017	51.00
11.5147	49.00
11.5277	41.00
11.5407	46.00
11.5537	45.00
11.5667	55.00
11.5797	55.00
11.5927	52.00
11.6057	48.00
11.6187	50.00
11.6317	46.00
11.6447	44.00
11.6577	53.00
11.6707	57.00
11.6837	47.00
11.6967	49.00
11.7097	56.00
11.7227	52.00
11.7357	67.00
11.7487	62.00
11.7617	55.00
11.7747	48.00
11.7877	51.00
11.8007	54.00
11.8137	64.00
11.8267	57.00
11.8397	44.00
11.8527	43.00
11.8657	52.00
11.8787	60.00
11.8916	59.00
11.9046	50.00
11.9176	55.00
11.9306	57.00
11.9436	56.00
11.9566	56.00
11.9696	53.00
11.9826	46.00
11.9956	46.00
12.0086	52.00
12.0216	50.00
12.0346	50.00
12.0476	49.00
12.0606	48.00
12.0736	45.00
12.0866	53.00
12.0996	60.00
12.1126	54.00
12.1256	46.00
12.1386	55.00
12.1516	57.00
12.1646	47.00
12.1776	43.00
12.1906	46.00
12.2036	41.00
12.2166	46.00
12.2296	49.00
12.2426	57.00
12.2556	55.00
12.2686	47.00
12.2816	37.00
12.2946	41.00
12.3076	43.00
12.3206	48.00
12.3336	51.00
12.3466	45.00
12.3596	54.00
12.3726	46.00
12.3856	58.00
12.3986	49.00
12.4116	50.00
12.4246	47.00
12.4375	48.00
12.4505	47.00
12.4635	44.00
12.4765	55.00
12.4895	46.00
12.5025	57.00
12.5155	38.00
12.5285	49.00
12.5415	49.00
12.5545	59.00
12.5675	67.00
12.5805	58.00
12.5935	42.00
12.6065	44.00
12.6195	46.00
12.6325	46.00
12.6455	58.00
12.6585	54.00
12.6715	43.00
12.6845	45.00
12.6975	45.00
12.7105	42.00
12.7235	50.00
12.7365	52.00
12.7495	50.00
12.7625	49.00
12.7755	58.00
12.7885	44.00
12.8015	45.00
12.8145	48.00
12.8275	35.00
12.8405	47.00
12.8535	45.00
12.8665	40.00
12.8795	41.00
12.8925	41.00
12.9055	35.00
12.9185	45.00
12.9315	45.00
12.9445	47.00
12.9575	48.00
12.9704	55.00
12.9834	69.00
12.9964	55.00
13.0094	49.00
13.0224	52.00
13.0354	40.00
13.0484	46.00
13.0614	41.00
13.0744	39.00
13.0874	49.00
13.1004	44.00
13.1134	45.00
13.1264	52.00
13.1394	54.00
13.1524	56.00
13.1654	52.00
13.1784	46.00
13.1914	43.00
13.2044	41.00
13.2174	39.00
13.2304	55.00
13.2434	58.00
13.2564	43.00
13.2694	35.00
13.2824	43.00
13.2954	55.00
13.3084	52.00
13.3214	53.00
13.3344	58.00
13.3474	53.00
13.3604	48.00
13.3734	44.00
13.3864	45.00
13.3994	43.00
13.4124	38.00
13.4254	48.00
13.4384	49.00
13.4514	49.00
13.4644	44.00
13.4774	47.00
13.4904	51.00
13.5034	45.00
13.5163	46.00
13.5293	45.00
13.5423	42.00
13.5553	48.00
13.5683	47.00
13.5813	46.00
13.5943	51.00
13.6073	50.00
13.6203	50.00
13.6333	49.00
13.6463	40.00
13.6593	40.00
13.6723	48.00
13.6853	47.00
13.6983	48.00
13.7113	47.00
13.7243	45.00
13.7373	38.00
13.7503	40.00
13.7633	43.00
13.7763	46.00
13.7893	33.00
13.8023	47.00
13.8153	48.00
13.8283	55.00
13.8413	59.00
13.8543	41.00
13.8673	36.00
13.8803	42.00
13.8933	48.00
13.9063	55.00
13.9193	47.00
13.9323	47.00
13.9453	42.00
13.9583	46.00
13.9713	47.00
13.9843	32.00
13.9973	37.00
14.0103	60.00
14.0233	38.00
14.0363	45.00
14.0492	43.00
14.0622	63.00
14.0752	52.00
14.0882	42.00
14.1012	42.00
14.1142	54.00
14.1272	46.00
14.1402	39.00
14.1532	35.00
14.1662	41.00
14.1792	45.00
14.1922	43.00
14.2052	40.00
14.2182	59.00
14.2312	41.00
14.2442	41.00
14.2572	45.00
14.2702	37.00
14.2832	42.00
14.2962	55.00
14.3092	47.00
14.3222	45.00
14.3352	46.00
14.3482	40.00
14.3612	43.00
14.3742	49.00
14.3872	45.00
14.4002	52.00
14.4132	48.00
14.4262	49.00
14.4392	43.00
14.4522	37.00
14.4652	44.00
14.4782	48.00
14.4912	48.00
