pos	int
10.3059	60.00
10.5139	62.00
10.9558	60.00
11.3328	63.00
11.7357	67.00
12.3856	58.00
12.5675	67.00
12.9834	69.00
13.3344	58.00
13.8413	59.00
14.0103	60.00
14.0622	63.00
14.2182	59.00
15.0631	55.00
15.3230	50.00
15.4400	52.00
16.4148	55.00
16.9737	51.00
17.5456	52.00
18.1045	52.00
18.2865	47.00
18.8324	48.00
19.1573	47.00
19.6382	47.00
19.7942	53.00
20.6910	46.00
21.3539	44.00
21.5619	44.00
22.0818	45.00
22.2507	44.00
22.9136	43.00
23.1476	45.00
24.3433	47.00
24.5253	53.00
24.5903	48.00
27.0468	41.00
28.7365	451.00
29.8543	50.00
30.8941	44.00
33.5456	41.00
35.2743	39.00
35.5343	39.00
36.2101	39.00
37.4189	108.00
37.5099	83.00
38.7187	41.00
40.0184	39.00
41.0712	68.00
41.5131	37.00
42.8649	59.00
46.2053	41.00
47.9470	36.00
49.6496	39.00
50.7674	35.00
51.7422	39.00
55.2386	34.00
56.6943	128.00
59.4238	71.00
59.5668	55.00
61.9324	38.00
63.1671	34.00
63.5960	34.00
63.7260	34.00
65.0778	36.00
66.4165	36.00
67.3004	40.00
68.8861	34.00
72.3824	54.00
75.1379	35.00
75.5018	34.00
79.2321	34.00
