XRDML file: ../content/data/xrdml/NASA/BCdT - PT/10Bi(Cd0.5Ti0.5)O3 - 90PbTiO3 - 1100C.xrdml
Package: Scipy
Allowed Error: 0.005
distance  		prominence		recall         		precision      		f1_score       
-------------------------------------------------------------------------------------
100       		None      		0.0625         		0.05714        		0.0597         
None      		100       		0.15625        		0.05208        		0.07812        
100       		100       		0.0625         		0.08333        		0.07143        
None      		150       		0.125          		0.12903        		0.12698        
100       		150       		0.03125        		0.0625         		0.04167        
None      		200       		0.125          		0.22222        		0.16           
100       		200       		0.03125        		0.09091        		0.04651        
None      		250       		0.125          		0.26667        		0.17021        
100       		250       		0.03125        		0.11111        		0.04878        
None      		300       		0.09375        		0.23077        		0.13333        
100       		300       		0.03125        		0.125          		0.05           
None      		350       		0.09375        		0.25           		0.13636        
100       		350       		0.03125        		0.125          		0.05           
None      		400       		0.09375        		0.27273        		0.13953        
100       		400       		0.03125        		0.14286        		0.05128        
None      		450       		0.09375        		0.27273        		0.13953        
100       		450       		0.03125        		0.14286        		0.05128        
None      		500       		0.09375        		0.3            		0.14286        
100       		500       		0.03125        		0.16667        		0.05263        
None      		550       		0.09375        		0.3            		0.14286        
100       		550       		0.03125        		0.16667        		0.05263        
None      		600       		0.09375        		0.3            		0.14286        
100       		600       		0.03125        		0.16667        		0.05263        
None      		650       		0.09375        		0.33333        		0.14634        
100       		650       		0.03125        		0.16667        		0.05263        
None      		700       		0.09375        		0.33333        		0.14634        
100       		700       		0.03125        		0.16667        		0.05263        
None      		750       		0.09375        		0.33333        		0.14634        
100       		750       		0.03125        		0.16667        		0.05263        
None      		800       		0.09375        		0.33333        		0.14634        
100       		800       		0.03125        		0.16667        		0.05263        
None      		850       		0.09375        		0.33333        		0.14634        
100       		850       		0.03125        		0.16667        		0.05263        
None      		900       		0.0625         		0.25           		0.1            
100       		900       		0.03125        		0.16667        		0.05263        
None      		950       		0.0625         		0.25           		0.1            
100       		950       		0.03125        		0.16667        		0.05263        
None      		1000      		0.0625         		0.25           		0.1            
100       		1000      		0.03125        		0.16667        		0.05263        
110       		None      		0.0625         		0.06667        		0.06452        
None      		100       		0.15625        		0.05208        		0.07812        
110       		100       		0.0625         		0.09524        		0.07547        
None      		150       		0.125          		0.12903        		0.12698        
110       		150       		0.0625         		0.14286        		0.08696        
None      		200       		0.125          		0.22222        		0.16           
110       		200       		0.0625         		0.18182        		0.09302        
None      		250       		0.125          		0.26667        		0.17021        
110       		250       		0.0625         		0.22222        		0.09756        
None      		300       		0.09375        		0.23077        		0.13333        
110       		300       		0.0625         		0.25           		0.1            
None      		350       		0.09375        		0.25           		0.13636        
110       		350       		0.0625         		0.25           		0.1            
None      		400       		0.09375        		0.27273        		0.13953        
110       		400       		0.0625         		0.28571        		0.10256        
None      		450       		0.09375        		0.27273        		0.13953        
110       		450       		0.0625         		0.28571        		0.10256        
None      		500       		0.09375        		0.3            		0.14286        
110       		500       		0.0625         		0.33333        		0.10526        
None      		550       		0.09375        		0.3            		0.14286        
110       		550       		0.0625         		0.33333        		0.10526        
None      		600       		0.09375        		0.3            		0.14286        
110       		600       		0.0625         		0.33333        		0.10526        
None      		650       		0.09375        		0.33333        		0.14634        
110       		650       		0.0625         		0.33333        		0.10526        
None      		700       		0.09375        		0.33333        		0.14634        
110       		700       		0.0625         		0.33333        		0.10526        
None      		750       		0.09375        		0.33333        		0.14634        
110       		750       		0.0625         		0.33333        		0.10526        
None      		800       		0.09375        		0.33333        		0.14634        
110       		800       		0.0625         		0.33333        		0.10526        
None      		850       		0.09375        		0.33333        		0.14634        
110       		850       		0.0625         		0.33333        		0.10526        
None      		900       		0.0625         		0.25           		0.1            
110       		900       		0.0625         		0.33333        		0.10526        
None      		950       		0.0625         		0.25           		0.1            
110       		950       		0.0625         		0.33333        		0.10526        
None      		1000      		0.0625         		0.25           		0.1            
110       		1000      		0.0625         		0.33333        		0.10526        
120       		None      		0.0625         		0.06897        		0.06557        
None      		100       		0.15625        		0.05208        		0.07812        
120       		100       		0.0625         		0.13333        		0.08511        
None      		150       		0.125          		0.12903        		0.12698        
120       		150       		0.0625         		0.18182        		0.09302        
None      		200       		0.125          		0.22222        		0.16           
120       		200       		0.0625         		0.18182        		0.09302        
None      		250       		0.125          		0.26667        		0.17021        
120       		250       		0.0625         		0.22222        		0.09756        
None      		300       		0.09375        		0.23077        		0.13333        
120       		300       		0.0625         		0.25           		0.1            
None      		350       		0.09375        		0.25           		0.13636        
120       		350       		0.0625         		0.25           		0.1            
None      		400       		0.09375        		0.27273        		0.13953        
120       		400       		0.0625         		0.28571        		0.10256        
None      		450       		0.09375        		0.27273        		0.13953        
120       		450       		0.0625         		0.28571        		0.10256        
None      		500       		0.09375        		0.3            		0.14286        
120       		500       		0.0625         		0.33333        		0.10526        
None      		550       		0.09375        		0.3            		0.14286        
120       		550       		0.0625         		0.33333        		0.10526        
None      		600       		0.09375        		0.3            		0.14286        
120       		600       		0.0625         		0.33333        		0.10526        
None      		650       		0.09375        		0.33333        		0.14634        
120       		650       		0.0625         		0.33333        		0.10526        
None      		700       		0.09375        		0.33333        		0.14634        
120       		700       		0.0625         		0.33333        		0.10526        
None      		750       		0.09375        		0.33333        		0.14634        
120       		750       		0.0625         		0.33333        		0.10526        
None      		800       		0.09375        		0.33333        		0.14634        
120       		800       		0.0625         		0.33333        		0.10526        
None      		850       		0.09375        		0.33333        		0.14634        
120       		850       		0.0625         		0.33333        		0.10526        
None      		900       		0.0625         		0.25           		0.1            
120       		900       		0.0625         		0.33333        		0.10526        
None      		950       		0.0625         		0.25           		0.1            
120       		950       		0.0625         		0.33333        		0.10526        
None      		1000      		0.0625         		0.25           		0.1            
120       		1000      		0.0625         		0.33333        		0.10526        
130       		None      		0.03125        		0.04           		0.03509        
None      		100       		0.15625        		0.05208        		0.07812        
130       		100       		0.03125        		0.06667        		0.04255        
None      		150       		0.125          		0.12903        		0.12698        
130       		150       		0.03125        		0.09091        		0.04651        
None      		200       		0.125          		0.22222        		0.16           
130       		200       		0.03125        		0.11111        		0.04878        
None      		250       		0.125          		0.26667        		0.17021        
130       		250       		0.03125        		0.125          		0.05           
None      		300       		0.09375        		0.23077        		0.13333        
130       		300       		0.03125        		0.14286        		0.05128        
None      		350       		0.09375        		0.25           		0.13636        
130       		350       		0.03125        		0.14286        		0.05128        
None      		400       		0.09375        		0.27273        		0.13953        
130       		400       		0.03125        		0.16667        		0.05263        
None      		450       		0.09375        		0.27273        		0.13953        
130       		450       		0.03125        		0.16667        		0.05263        
None      		500       		0.09375        		0.3            		0.14286        
130       		500       		0.03125        		0.2            		0.05405        
None      		550       		0.09375        		0.3            		0.14286        
130       		550       		0.03125        		0.2            		0.05405        
None      		600       		0.09375        		0.3            		0.14286        
130       		600       		0.03125        		0.2            		0.05405        
None      		650       		0.09375        		0.33333        		0.14634        
130       		650       		0.03125        		0.2            		0.05405        
None      		700       		0.09375        		0.33333        		0.14634        
130       		700       		0.03125        		0.2            		0.05405        
None      		750       		0.09375        		0.33333        		0.14634        
130       		750       		0.03125        		0.2            		0.05405        
None      		800       		0.09375        		0.33333        		0.14634        
130       		800       		0.03125        		0.2            		0.05405        
None      		850       		0.09375        		0.33333        		0.14634        
130       		850       		0.03125        		0.2            		0.05405        
None      		900       		0.0625         		0.25           		0.1            
130       		900       		0.03125        		0.2            		0.05405        
None      		950       		0.0625         		0.25           		0.1            
130       		950       		0.03125        		0.2            		0.05405        
None      		1000      		0.0625         		0.25           		0.1            
130       		1000      		0.03125        		0.2            		0.05405        
140       		None      		0.03125        		0.04167        		0.03571        
None      		100       		0.15625        		0.05208        		0.07812        
140       		100       		0.03125        		0.05556        		0.04           
None      		150       		0.125          		0.12903        		0.12698        
140       		150       		0.03125        		0.09091        		0.04651        
None      		200       		0.125          		0.22222        		0.16           
140       		200       		0.03125        		0.11111        		0.04878        
None      		250       		0.125          		0.26667        		0.17021        
140       		250       		0.03125        		0.125          		0.05           
None      		300       		0.09375        		0.23077        		0.13333        
140       		300       		0.03125        		0.14286        		0.05128        
None      		350       		0.09375        		0.25           		0.13636        
140       		350       		0.03125        		0.14286        		0.05128        
None      		400       		0.09375        		0.27273        		0.13953        
140       		400       		0.03125        		0.16667        		0.05263        
None      		450       		0.09375        		0.27273        		0.13953        
140       		450       		0.03125        		0.16667        		0.05263        
None      		500       		0.09375        		0.3            		0.14286        
140       		500       		0.03125        		0.2            		0.05405        
None      		550       		0.09375        		0.3            		0.14286        
140       		550       		0.03125        		0.2            		0.05405        
