pos	int
20.0131	940.00
20.0394	878.00
20.0656	914.00
20.0919	917.00
20.1181	924.00
20.1444	901.00
20.1707	825.00
20.1969	861.00
20.2232	858.00
20.2494	873.00
20.2757	891.00
20.3019	905.00
20.3282	811.00
20.3544	895.00
20.3807	841.00
20.4069	887.00
20.4332	866.00
20.4595	855.00
20.4857	851.00
20.5120	819.00
20.5382	834.00
20.5645	872.00
20.5907	891.00
20.6170	860.00
20.6432	896.00
20.6695	865.00
20.6957	875.00
20.7220	876.00
20.7483	855.00
20.7745	849.00
20.8008	848.00
20.8270	885.00
20.8533	819.00
20.8795	857.00
20.9058	825.00
20.9320	849.00
20.9583	851.00
20.9845	826.00
21.0108	768.00
21.0371	831.00
21.0633	805.00
21.0896	859.00
21.1158	769.00
21.1421	805.00
21.1683	773.00
21.1946	817.00
21.2208	830.00
21.2471	757.00
21.2733	741.00
21.2996	819.00
21.3259	751.00
21.3521	745.00
21.3784	798.00
21.4046	801.00
21.4309	792.00
21.4571	800.00
21.4834	785.00
21.5096	748.00
21.5359	788.00
21.5621	752.00
21.5884	820.00
21.6147	771.00
21.6409	814.00
21.6672	740.00
21.6934	735.00
21.7197	782.00
21.7459	730.00
21.7722	768.00
21.7984	832.00
21.8247	731.00
21.8510	788.00
21.8772	776.00
21.9035	760.00
21.9297	788.00
21.9560	782.00
21.9822	767.00
22.0085	736.00
22.0347	694.00
22.0610	750.00
22.0872	688.00
22.1135	758.00
22.1398	745.00
22.1660	715.00
22.1923	741.00
22.2185	751.00
22.2448	722.00
22.2710	724.00
22.2973	725.00
22.3235	715.00
22.3498	693.00
22.3760	664.00
22.4023	748.00
22.4286	683.00
22.4548	699.00
22.4811	715.00
22.5073	726.00
22.5336	700.00
22.5598	670.00
22.5861	766.00
22.6123	694.00
22.6386	701.00
22.6648	709.00
22.6911	682.00
22.7174	735.00
22.7436	700.00
22.7699	730.00
22.7961	677.00
22.8224	724.00
22.8486	704.00
22.8749	704.00
22.9011	710.00
22.9274	637.00
22.9536	630.00
22.9799	629.00
23.0062	740.00
23.0324	701.00
23.0587	663.00
23.0849	674.00
23.1112	636.00
23.1374	681.00
23.1637	675.00
23.1899	661.00
23.2162	661.00
23.2424	675.00
23.2687	677.00
23.2950	622.00
23.3212	665.00
23.3475	672.00
23.3737	653.00
23.4000	596.00
23.4262	622.00
23.4525	649.00
23.4787	637.00
23.5050	635.00
23.5312	632.00
23.5575	668.00
23.5838	707.00
23.6100	666.00
23.6363	621.00
23.6625	631.00
23.6888	610.00
23.7150	657.00
23.7413	605.00
23.7675	646.00
23.7938	649.00
23.8200	637.00
23.8463	669.00
23.8726	628.00
23.8988	605.00
23.9251	673.00
23.9513	655.00
23.9776	612.00
24.0038	624.00
24.0301	562.00
24.0563	665.00
24.0826	621.00
24.1088	604.00
24.1351	625.00
24.1614	627.00
24.1876	595.00
24.2139	615.00
24.2401	597.00
24.2664	611.00
24.2926	585.00
24.3189	628.00
24.3451	620.00
24.3714	599.00
24.3976	605.00
24.4239	600.00
24.4502	611.00
24.4764	638.00
24.5027	608.00
24.5289	618.00
24.5552	617.00
24.5814	637.00
24.6077	593.00
24.6339	591.00
24.6602	598.00
24.6864	660.00
24.7127	583.00
24.7390	576.00
24.7652	652.00
24.7915	621.00
24.8177	639.00
24.8440	633.00
24.8702	626.00
24.8965	617.00
24.9227	612.00
24.9490	586.00
24.9752	596.00
25.0015	623.00
25.0278	589.00
25.0540	569.00
25.0803	585.00
25.1065	652.00
25.1328	614.00
25.1590	619.00
25.1853	623.00
25.2115	600.00
25.2378	569.00
25.2640	598.00
25.2903	596.00
25.3166	618.00
25.3428	647.00
25.3691	654.00
25.3953	608.00
25.4216	629.00
25.4478	593.00
25.4741	614.00
25.5003	675.00
25.5266	680.00
25.5528	638.00
25.5791	704.00
25.6054	787.00
25.6316	732.00
25.6579	694.00
25.6841	565.00
25.7104	612.00
25.7366	616.00
25.7629	596.00
25.7891	608.00
25.8154	601.00
25.8416	557.00
25.8679	605.00
25.8942	585.00
25.9204	632.00
25.9467	595.00
25.9729	609.00
25.9992	586.00
26.0254	614.00
26.0517	629.00
26.0779	598.00
26.1042	610.00
26.1304	581.00
26.1567	550.00
26.1830	626.00
26.2092	658.00
26.2355	567.00
26.2617	624.00
26.2880	616.00
26.3142	620.00
26.3405	613.00
26.3667	624.00
26.3930	651.00
26.4192	604.00
26.4455	627.00
26.4718	625.00
26.4980	627.00
26.5243	651.00
26.5505	692.00
26.5768	646.00
26.6030	659.00
26.6293	645.00
26.6555	673.00
26.6818	656.00
26.7080	663.00
26.7343	643.00
26.7606	569.00
26.7868	608.00
26.8131	618.00
26.8393	635.00
26.8656	640.00
26.8918	616.00
26.9181	615.00
26.9443	643.00
26.9706	638.00
26.9968	619.00
27.0231	683.00
27.0494	629.00
27.0756	643.00
27.1019	627.00
27.1281	636.00
27.1544	639.00
27.1806	656.00
27.2069	647.00
27.2331	622.00
27.2594	625.00
